"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"14.06.2024","66.246,10","66.739,48","67.365,43","65.030,58","0,01K","-0,74%"
"13.06.2024","66.739,48","68.294,08","68.419,98","66.336,04","0,01K","-2,28%"
"12.06.2024","68.294,08","67.319,58","69.969,69","66.919,85","0,01K","1,45%"
"11.06.2024","67.319,58","69.505,69","69.537,48","66.068,98","0,01K","-3,15%"
"10.06.2024","69.505,69","69.654,59","70.120,73","69.217,20","0,00K","-0,21%"
"09.06.2024","69.654,59","69.306,44","69.833,75","69.118,78","0,00K","0,50%"
"08.06.2024","69.306,44","69.342,24","69.553,37","69.148,41","0,00K","-0,05%"
"07.06.2024","69.342,24","70.767,99","71.915,68","68.205,08","0,01K","-2,01%"
"06.06.2024","70.767,99","71.147,39","71.631,59","70.301,90","0,01K","-0,53%"
"05.06.2024","71.147,39","70.558,10","71.754,37","70.290,73","0,04K","0,84%"
"04.06.2024","70.558,10","68.797,22","71.064,50","68.543,60","0,01K","2,56%"
"03.06.2024","68.797,22","67.758,53","70.230,33","67.645,41","0,01K","1,53%"
"02.06.2024","67.758,53","67.757,40","68.471,28","67.387,68","0,01K","0,00%"
"01.06.2024","67.757,40","67.553,30","67.898,30","67.473,09","0,00K","0,30%"
"31.05.2024","67.553,30","68.434,79","68.946,40","66.680,20","0,01K","-1,29%"
"30.05.2024","68.434,79","67.547,90","69.519,38","67.080,31","0,00K","1,31%"
"29.05.2024","67.547,90","68.370,60","68.908,76","67.103,24","0,01K","-1,20%"
"28.05.2024","68.370,60","69.419,58","69.424,91","67.192,03","0,01K","-1,51%"
"27.05.2024","69.419,58","68.520,10","70.640,50","68.394,91","0,01K","1,31%"
"26.05.2024","68.520,10","69.277,02","69.501,70","68.218,12","0,01K","-1,09%"
"25.05.2024","69.277,02","68.547,76","69.626,20","68.502,31","0,01K","1,06%"
"24.05.2024","68.547,76","67.914,54","69.255,76","66.739,31","0,01K","0,93%"
"23.05.2024","67.914,54","69.187,10","70.201,00","66.302,62","0,02K","-1,84%"
"22.05.2024","69.187,10","70.197,77","70.696,35","69.075,10","0,02K","-1,44%"
"21.05.2024","70.197,77","71.515,58","71.984,36","69.184,61","0,04K","-1,84%"
"20.05.2024","71.515,58","66.260,00","71.562,93","66.040,02","0,03K","7,93%"
"19.05.2024","66.260,00","66.898,33","67.648,08","65.935,09","0,01K","-0,95%"
"18.05.2024","66.898,33","67.055,50","67.383,19","66.550,38","0,01K","-0,23%"
"17.05.2024","67.055,50","65.267,90","67.380,10","65.227,91","0,01K","2,74%"
"16.05.2024","65.267,90","66.256,81","66.699,46","64.711,61","0,02K","-1,49%"
"15.05.2024","66.256,81","61.561,40","66.412,39","61.333,72","0,01K","7,63%"
"14.05.2024","61.561,40","62.911,05","63.066,10","61.121,13","0,01K","-2,15%"
"13.05.2024","62.911,05","61.457,58","63.356,20","60.709,18","0,01K","2,37%"
"12.05.2024","61.457,58","60.751,83","61.800,43","60.627,01","0,00K","1,16%"
"11.05.2024","60.751,83","60.737,78","61.330,34","60.501,00","0,00K","0,02%"
"10.05.2024","60.737,78","63.062,99","63.429,20","60.100,00","0,01K","-3,64%"
"09.05.2024","63.031,39","61.159,19","63.374,69","60.644,80","0,00K","3,06%"
"08.05.2024","61.159,19","62.305,30","62.900,79","60.879,16","0,01K","-1,84%"
"07.05.2024","62.305,30","63.070,83","64.345,10","62.186,01","0,01K","-1,21%"
"06.05.2024","63.070,83","63.927,69","65.354,79","62.721,19","0,00K","-1,34%"
"05.05.2024","63.927,69","63.808,82","64.470,34","62.900,00","0,00K","0,19%"
"04.05.2024","63.808,82","62.810,36","64.448,94","62.543,58","0,00K","1,59%"
"03.05.2024","62.810,36","59.127,91","63.199,00","58.869,96","0,00K","6,23%"
"02.05.2024","59.127,91","58.272,82","59.602,68","56.913,13","0,00K","1,47%"
"01.05.2024","58.272,82","60.726,39","60.815,89","56.537,87","0,01K","-4,04%"
"30.04.2024","60.726,39","63.793,65","64.632,10","59.186,25","0,01K","-4,81%"
"29.04.2024","63.793,65","63.171,21","64.179,70","61.969,71","0,00K","0,94%"
"28.04.2024","63.198,51","63.455,68","64.374,29","62.877,47","0,00K","-0,41%"
"27.04.2024","63.455,68","63.807,99","63.862,88","62.513,18","0,00K","-0,55%"
"26.04.2024","63.807,99","64.522,80","64.855,44","63.405,90","0,01K","-1,11%"
"25.04.2024","64.522,80","64.298,64","65.134,60","62.904,27","0,00K","0,35%"
"24.04.2024","64.298,64","66.415,61","67.108,70","63.635,23","0,00K","-3,25%"
"23.04.2024","66.455,29","66.961,70","67.678,17","65.984,40","0,00K","-0,76%"
"22.04.2024","66.961,70","64.954,48","67.400,50","64.619,76","0,00K","3,09%"
"21.04.2024","64.954,48","65.046,75","65.896,19","64.336,78","","-0,14%"
"20.04.2024","65.046,75","63.975,68","65.457,40","63.280,46","0,00K","1,67%"
"19.04.2024","63.975,68","63.528,89","65.715,19","59.861,01","0,01K","0,70%"
"18.04.2024","63.528,89","61.253,39","64.199,99","60.867,51","0,01K","3,71%"
"17.04.2024","61.253,39","63.707,76","64.500,00","59.915,81","0,01K","-3,85%"
"16.04.2024","63.707,76","63.390,50","64.234,35","61.719,34","0,01K","0,50%"
"15.04.2024","63.390,50","65.676,20","66.914,51","62.341,53","0,00K","-3,48%"
"14.04.2024","65.676,20","64.016,06","66.004,67","62.241,45","0,01K","2,59%"
"13.04.2024","64.016,06","67.254,10","68.108,19","61.138,33","0,01K","-4,81%"
"12.04.2024","67.254,10","70.113,08","71.220,50","65.397,52","0,00K","-4,08%"
"11.04.2024","70.113,08","70.557,83","71.382,06","69.658,20","0,00K","-0,63%"
"10.04.2024","70.557,83","69.060,80","71.110,37","67.600,00","0,00K","2,41%"
"09.04.2024","68.900,50","71.723,27","71.812,85","68.467,27","0,00K","-3,92%"
"08.04.2024","71.710,29","69.610,72","72.788,54","69.186,85","0,00K","3,02%"
"07.04.2024","69.610,72","68.965,22","70.377,92","68.839,98","0,00K","0,94%"
"06.04.2024","68.965,22","67.979,35","69.717,88","67.539,20","0,00K","1,45%"
"05.04.2024","67.979,35","68.589,60","68.871,88","66.261,27","0,00K","-0,89%"
"04.04.2024","68.589,60","65.997,11","69.344,54","65.144,19","0,01K","3,93%"
